FECHA,PAÍS,DEPARTAMENTO,MUNICIPIO,DELITO,PAIS VÍCTIMA,GENERO,ZONA,CIRCUNSTANCIASPERSONA
2022-07-27T00:00:00.000,COLOMBIA,BOLÍVAR,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,MASCULINO,URBANA,VENEZUELA
2022-07-29T00:00:00.000,COLOMBIA,VALLE,Cali (CT),ARTÍCULO 239. HURTO PERSONAS,ESTONIA,MASCULINO,URBANA,ESTONIA
2022-07-30T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-08-02T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,JAPON,FEMENINO,URBANA,JAPON
2022-08-03T00:00:00.000,COLOMBIA,ANTIOQUIA,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,AUSTRALIA,MASCULINO,URBANA,AUSTRALIA
2022-08-03T00:00:00.000,COLOMBIA,ANTIOQUIA,Medellín (CT),RECUPERACION,AUSTRALIA,MASCULINO,URBANA,AUSTRALIA
2022-08-04T00:00:00.000,COLOMBIA,ANTIOQUIA,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,PANAMA,FEMENINO,URBANA,PANAMA
2022-08-04T00:00:00.000,COLOMBIA,ANTIOQUIA,Medellín (CT),RECUPERACION,PANAMA,FEMENINO,URBANA,PANAMA
2022-08-05T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 347. AMENAZAS,-,MASCULINO,URBANA,-
2022-08-07T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,FRANCIA,FEMENINO,URBANA,FRANCIA
2022-08-08T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,ALEMANIA,MASCULINO,URBANA,ALEMANIA
2022-08-08T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
